Date	Depth(m)	NO3_C(mmol_m-3)	PO4_C(mmol_m-3)	NH4_C(mmol_m-3)	NO3_E(mmol_m-3)	PO4_E(mmol_m-3)	NH4_E(mmol_m-3)	NO3_W(mmol_m-3)	PO4_W(mmol_m-3)	NH4_W(mmol_m-3)	NO3_S(mmol_m-3)	PO4_S(mmol_m-3)	NH4_S(mmol_m-3)	NO3_N(mmol_m-3)	PO4_N(mmol_m-3)	NH4_N(mmol_m-3)
2020-09-18	971.08	3.335	0.134	0.003	3.370	0.136	0.002	3.223	0.129	0.010	3.373	0.136	0.002	3.347	0.135	0.003
2020-09-18	1005.14	3.355	0.135	0.003	3.390	0.137	0.002	3.248	0.130	0.009	3.394	0.137	0.002	3.366	0.136	0.003
2020-09-18	1040.08	3.376	0.136	0.002	3.409	0.138	0.001	3.274	0.131	0.008	3.414	0.138	0.002	3.385	0.137	0.002
2020-09-18	1075.91	3.397	0.137	0.002	3.427	0.139	0.001	3.299	0.133	0.007	3.435	0.139	0.001	3.404	0.138	0.002
2020-09-18	1112.66	3.417	0.138	0.002	3.445	0.139	0.001	3.325	0.134	0.006	3.454	0.140	0.001	3.422	0.138	0.002
2020-09-18	1150.34	3.437	0.139	0.002	3.462	0.140	0.001	3.352	0.135	0.005	3.473	0.141	0.001	3.441	0.139	0.002
2020-09-18	1188.95	3.457	0.140	0.001	3.479	0.141	0.001	3.378	0.136	0.004	3.492	0.142	0.001	3.459	0.140	0.001
2020-09-18	1228.52	3.476	0.141	0.001	3.495	0.142	0.001	3.405	0.138	0.003	3.510	0.143	0.001	3.478	0.141	0.001
2020-09-18	1269.05	3.495	0.142	0.001	3.512	0.143	0.001	3.432	0.139	0.003	3.527	0.144	0.001	3.495	0.142	0.001
2020-09-18	1310.56	3.514	0.143	0.001	3.528	0.143	0.001	3.459	0.140	0.002	3.543	0.145	0.001	3.513	0.143	0.001
2020-09-18	1353.07	3.532	0.144	0.001	3.543	0.144	0.001	3.485	0.141	0.002	3.559	0.145	0.000	3.530	0.144	0.001
2020-09-18	1396.58	3.549	0.145	0.001	3.558	0.145	0.001	3.510	0.143	0.001	3.574	0.146	0.000	3.546	0.144	0.001
2020-09-18	1441.11	3.566	0.145	0.001	3.573	0.146	0.001	3.535	0.144	0.001	3.588	0.147	0.000	3.562	0.145	0.001
2020-09-18	1486.67	3.582	0.146	0.000	3.587	0.146	0.000	3.558	0.145	0.001	3.602	0.147	0.000	3.576	0.146	0.000
2020-09-18	1533.27	3.598	0.147	0.000	3.600	0.147	0.000	3.580	0.146	0.001	3.615	0.148	0.000	3.589	0.146	0.000
2020-09-18	1580.93	3.612	0.148	0.000	3.613	0.148	0.000	3.601	0.147	0.001	3.627	0.149	0.000	3.601	0.147	0.000
2020-09-18	1629.65	3.626	0.148	0.000	3.626	0.148	0.000	3.620	0.148	0.000	3.639	0.149	0.000	3.612	0.148	0.000
2020-09-18	1679.44	3.639	0.149	0.000	3.638	0.149	0.000	3.637	0.149	0.000	3.650	0.150	0.000	3.622	0.148	0.000
2020-09-18	1730.33	3.651	0.149	0.000	3.650	0.149	0.000	3.652	0.149	0.000	3.660	0.150	0.000	3.631	0.148	0.000
2020-09-18	1782.31	3.662	0.150	0.000	3.661	0.150	0.000	3.666	0.150	0.000	3.670	0.151	0.000	3.639	0.149	0.000
2020-09-18	1835.40	3.673	0.151	0.000	3.672	0.150	0.000	3.679	0.151	0.000	3.679	0.151	0.000	3.646	0.149	0.000
2020-09-18	1889.61	3.682	0.151	0.000	3.681	0.151	0.000	3.690	0.151	0.000	3.688	0.151	0.000	3.652	0.149	0.000
2020-09-18	1944.95	3.691	0.151	0.000	3.691	0.151	0.000	3.699	0.152	0.000	3.696	0.152	0.000	3.658	0.150	0.000
2020-09-18	2001.42	3.699	0.152	0.000	3.699	0.152	0.000	3.708	0.152	0.000	3.703	0.152	0.000	3.663	0.150	0.000
2020-09-18	2059.03	3.707	0.152	0.000	3.707	0.152	0.000	3.716	0.153	0.000	3.710	0.153	0.000	3.669	0.150	0.000
2020-09-18	2117.79	3.714	0.153	0.000	3.715	0.152	0.000	3.723	0.153	0.000	3.717	0.153	0.000	3.673	0.150	0.000
2020-09-18	2177.71	3.721	0.153	0.000	3.722	0.153	0.000	3.730	0.153	0.000	3.723	0.153	0.000	3.678	0.151	0.000
2020-09-18	2238.80	3.728	0.153	0.000	3.729	0.153	0.000	3.737	0.154	0.000	3.729	0.153	0.000	3.683	0.151	0.000
2020-09-18	2301.06	3.734	0.153	0.000	3.735	0.153	0.000	3.743	0.154	0.000	3.734	0.154	0.000	3.687	0.151	0.000
2020-09-18	2364.49	3.740	0.154	0.000	3.741	0.154	0.000	3.749	0.154	0.000	3.739	0.154	0.000	3.692	0.151	0.000
2020-09-18	2429.11	3.746	0.154	0.000	3.747	0.154	0.000	3.754	0.154	0.000	3.744	0.154	0.000	3.695	0.151	0.000
2020-09-18	2494.91	3.752	0.154	0.000	3.752	0.154	0.000	3.760	0.155	0.000	3.748	0.154	0.000	3.700	0.152	0.000
2020-09-18	2561.90	3.757	0.155	0.000	3.757	0.154	0.000	3.763	0.155	0.000	3.752	0.155	0.000	3.703	0.152	0.000
2020-09-18	2630.09	3.763	0.155	0.000	3.762	0.155	0.000	3.767	0.155	0.000	3.756	0.155	0.000	3.708	0.152	0.000
2020-09-18	2699.47	3.767	0.155	0.000	3.766	0.155	0.000	3.770	0.155	0.000	3.760	0.155	0.000	3.713	0.152	0.000
2020-09-18	2770.06	3.772	0.155	0.000	3.770	0.155	0.000	3.770	0.155	0.000	3.764	0.155	0.000	3.720	0.153	0.000
